Country,Year,Code,Happiness,Happiness Binary,PPP per capita,Unemployment Percent,Political Stability,Rule of Law,Voice and Accountability,Labor force female,Male Life Expectancy,Female Life Expectancy,MMR,Adolescent fertility,Tuberculosis
Argentina,2010,160,6.441,1,18712.06,7.71,-0.085,-0.591,0.362,53.70700073,71.733,79.439,58,63.8792,20
Armenia,2010,371,4.368,0,6702.85,19.01,0.072,-0.489,-0.848,54.84700012,69.961,76.415,33,27.443,61
Australia,2010,900,7.45,1,41464.04,5.21,0.889,1.765,1.42,69.95400238,79.5,84,6,15.7206,6.5
Austria,2010,305,7.303,1,43336.2,4.82,1.153,1.8,1.43,68.92099762,77.8,83.5,4,9.5292,9.1
Azerbaijan,2010,373,4.219,0,15950.26,5.63,-0.239,-0.893,-1.305,66.91899872,67.863,74.127,27,44.7724,104
Bahrain,2010,692,5.937,1,40570.54,1.13,-0.493,0.436,-0.966,45.24200058,75.268,77.087,16,14.3106,23
Bangladesh,2010,771,4.858,0,2442.73,3.38,-1.426,-0.803,-0.268,31.23699951,69.024,71.521,242,90.4654,221
Belarus,2010,370,5.526,1,16260.59,1.15,-0.095,-1.07,-1.555,72.1989975,64.6,76.5,5,21.5848,67
Belgium,2010,211,6.854,1,41085.92,8.29,0.811,1.393,1.361,61.6780014,77.5,83,8,7.6294,11
Bolivia,2010,145,5.781,1,5407.47,2.54,-0.415,-1.024,-0.039,64.21399689,64.098,68.829,253,76.2958,135
Bosnia and Herzegovina,2010,346,4.669,0,9719.97,27.2,-0.694,-0.351,-0.082,45.02999878,73.283,78.43,13,13.7102,44
Botswana,2010,571,3.553,0,13052.81,17.86,0.991,0.675,0.456,55.65399933,57.178,62.514,169,42.899,518
Brazil,2010,140,6.837,1,14537.57,7.26,0.013,0.044,0.571,59.66999817,70.132,77.589,65,67.955,44
Bulgaria,2010,355,3.912,0,15283.22,10.28,0.36,-0.069,0.531,62.20199966,70,77.2,11,43.7244,41
Burkina Faso,2010,439,4.036,0,1423.38,4.65,-0.118,-0.194,-0.253,61.19200134,56.442,57.616,417,121.1052,58
Cambodia,2010,811,4.141,0,2522.93,0.35,-0.501,-1.119,-0.927,84.29499817,64.307,68.638,202,48.0808,436
Cameroon,2010,471,4.554,0,2929.83,4.11,-0.737,-1.071,-1.058,71.51399994,54.287,56.571,676,125.2854,260
Canada,2010,20,7.65,1,40699.36,8.06,0.936,1.806,1.353,74.28299713,79.1,83.4,8,12.3764,4.6
Chad,2010,483,3.743,0,1925.2,5.75,-1.525,-1.503,-1.36,65.2990036,49.26,51.2,1040,185.364,151
Chile,2010,155,6.636,1,19442.05,8.42,0.68,1.336,1.096,52.87599945,75.706,81.042,26,52.0394,16
China,2010,710,4.653,0,9525.82,4.2,-0.657,-0.41,-1.681,69.63600159,73.77,76.837,35,6.972,77
Colombia,2010,100,6.408,1,10791.01,10.88,-1.537,-0.309,-0.132,60.01399994,69.719,77.025,72,60.0682,31
Costa Rica,2010,94,7.271,1,12999.99,8.92,0.692,0.524,1.04,48.71500015,76.338,81.247,29,61.2344,14
Croatia,2010,344,5.596,1,20182.63,11.62,0.608,0.202,0.476,59.58599854,73.5,79.6,10,12.5344,18
Czech Republic,2010,316,6.25,1,28352.95,7.28,0.989,0.949,1.015,61.47299957,74.4,80.6,5,11.075,6.8
Denmark,2010,390,7.771,1,43998.44,7.46,1.041,1.898,1.542,75.99900055,77.1,81.2,7,5.0092,6.9
Dominican Republic,2010,42,4.735,0,11132.55,5.02,-0.045,-0.808,0.074,53.41199875,69.68,75.963,75,103.8548,50
Ecuador,2010,130,5.838,1,6300.78,4.89,-0.587,-1.204,-0.231,52.74900055,72.269,77.936,75,79.5994,40
El Salvador,2010,92,6.74,1,9352.34,4.09,0.059,-0.813,0.072,49.69800186,67.178,76.387,59,77.1074,34
Finland,2010,375,7.393,1,39848.13,8.39,1.424,1.969,1.487,48.05148416,76.7,83.2,3,8.1462,6.6
France,2010,220,6.798,1,36855.84,8.87,0.681,1.52,1.203,46.50563908,78.2,85.3,9,9.6746,9.2
Georgia,2010,372,4.102,0,6733.78,16.3,-0.718,-0.21,-0.161,46.34535355,68.48,76.717,40,51.2912,127
Germany,2010,255,6.725,1,40428.72,6.97,0.797,1.631,1.298,45.59065086,77.5,82.6,7,8.7462,5.8
Ghana,2010,452,4.606,0,3059.38,5.32,0.026,-0.028,0.515,49.92831779,60.023,61.808,325,72.5644,183
Greece,2010,350,5.84,1,28726.08,12.71,-0.127,0.631,0.898,41.97404604,77.9,83,3,9.7886,4.5
Guatemala,2010,90,6.29,1,6714.05,3.74,-0.853,-0.96,-0.303,34.66276692,68.255,74.674,109,82.7946,28
Haiti,2010,41,3.766,0,1502.03,15.95,-0.94,-1.37,-0.712,47.29167288,59.221,63.387,389,43.3346,229
Honduras,2010,91,5.866,1,3971.18,4.12,-0.497,-0.878,-0.504,35.14735693,69.977,74.934,155,83.6298,44
Hungary,2010,310,4.725,0,22404.24,11.17,0.686,0.78,0.894,46.14720876,70.5,78.1,15,20.0066,18
India,2010,750,4.989,0,4404.7,3.54,-1.278,-0.037,0.443,25.03823691,65.497,67.84,215,36.0522,247
Indonesia,2010,850,5.457,0,12717.6,8.34,-0.854,-0.64,-0.038,38.14527978,66.122,70.285,165,50.887,342
Iraq,2010,645,5.065,0,8433.5,5.61,-2.239,-1.558,-0.992,19.30540412,65.849,71.247,51,78.451,45
Ireland,2010,205,7.257,1,44030.41,13.85,1.02,1.768,1.324,44.07170784,78.5,83.1,7,13.72,9.6
Israel,2010,666,7.359,1,29743.01,8.48,-1.341,0.916,0.584,46.43188355,79.7,83.6,6,12.541,5.3
Italy,2010,325,6.354,1,36201.16,8.36,0.474,0.43,0.963,40.86379785,79.5,84.7,4,6.591,8.7
Japan,2010,740,6.057,1,35749.76,5.07,0.879,1.326,1.041,41.73712732,79.55,86.3,6,4.733,20
Jordan,2010,663,5.57,1,9472.77,12.5,-0.312,0.193,-0.799,17.86857143,71.874,75.081,59,27.5454,5.9
Kazakhstan,2010,705,5.514,1,20096.56,5.77,0.523,-0.616,-1.132,48.88272971,63.51,73.32,20,30.4734,145
Kenya,2010,501,4.256,0,2475.92,12.09,-1.166,-0.942,-0.219,47.42104546,60.974,64.898,605,91.038,531
Kuwait,2010,690,6.798,1,75204.15,1.82,0.452,0.592,-0.524,27.64313942,73.227,75.084,5,11.9468,37
Lebanon,2010,660,5.032,0,16451.76,6.38,-1.625,-0.708,-0.331,23.68657642,76.749,80.417,19,13.149,14
Lithuania,2010,368,5.066,0,21070.54,17.81,0.715,0.782,0.916,50.62358816,68,78.8,9,16.1048,64
Luxembourg,2010,212,7.097,1,91743.29,4.36,1.461,1.851,1.575,43.44627853,77.9,83.5,11,7.6928,6.6
Malaysia,2010,820,5.58,1,21107.27,3.25,0.143,0.478,-0.5,34.89710661,72.061,76.624,48,12.9878,76
Mali,2010,432,3.762,0,1871.99,8.07,-0.183,-0.45,0.158,38.99344549,54.62,55.87,630,181.5306,63
Malta,2010,338,5.774,1,28358.65,6.85,1.253,1.417,1.167,34.36577501,79.3,83.6,11,17.8444,8
Mauritania,2010,435,4.772,0,3316.98,10.18,-1.076,-0.89,-0.909,30.63081238,60.506,63.469,723,87.108,135
Mexico,2010,70,6.802,1,15715.97,5.33,-0.726,-0.551,0.179,35.70766153,73.668,78.518,45,67.7,21
Moldova,2010,359,5.59,1,3910.86,7.45,-0.381,-0.363,-0.055,35.70766153,65.577,73.641,34,26.2568,116
Mongolia,2010,712,4.586,0,7708.6,6.55,0.597,-0.36,0.088,45.659266,63.488,71.601,63,23.5792,428
Montenegro,2010,341,5.455,0,14038.39,19.68,0.584,0.014,0.19,44.26114142,72.945,77.575,8,15.4848,20
Morocco,2010,600,4.383,0,6443.25,9.06,-0.383,-0.172,-0.699,26.4396422,72.644,75.303,153,33.7464,101
Nepal,2010,790,4.35,0,1985.98,2.12,-1.584,-0.952,-0.447,50.38145415,66.517,69.373,349,76.4548,163
Netherlands,2010,210,7.502,1,45524.66,4.45,0.941,1.819,1.451,45.65018159,78.8,82.7,8,4.7864,7.1
New Zealand,2010,920,7.224,1,32119.22,6.14,1.236,1.869,1.508,46.68125004,78.8,82.7,13,25.7978,7.9
Nicaragua,2010,93,5.687,1,4028.71,7.83,-0.5,-0.829,-0.478,37.77657063,70.606,76.728,166,97.552,53
Niger,2010,436,4.101,0,814.21,0.86,-1.161,-0.482,-0.667,43.65922645,56.062,57.668,657,205.1126,113
Pakistan,2010,770,5.786,1,4283.61,0.65,-2.676,-0.739,-0.799,20.5933444,64.252,66.093,211,41.1408,276
Panama,2010,95,7.321,1,15628.59,6.52,-0.116,-0.074,0.537,37.33955062,73.883,79.976,101,87.2886,53
Paraguay,2010,150,5.841,1,9800.51,4.57,-0.835,-0.863,-0.079,38.55304081,70.248,74.451,139,63.2754,42
Peru,2010,135,5.613,1,9956.56,3.48,-1,-0.563,0.111,46.02856096,71.046,76.387,92,53.1626,132
Philippines,2010,840,4.942,0,5596.84,3.61,-1.651,-0.553,-0.039,38.98984911,65.089,71.791,129,56.2002,531
Poland,2010,290,5.887,1,21770.64,9.64,1.017,0.684,1.038,45.04655145,72.1,80.6,4,14.9762,21
Portugal,2010,235,5.095,0,27238.46,10.77,0.718,1.057,1.107,48.1772748,76.1,82.1,11,13.665,28
Romania,2010,360,4.909,0,17469.12,6.96,0.274,0.048,0.432,43.80223669,69.8,77.3,30,37.4372,105
Saudi Arabia,2010,670,6.307,1,45421.23,5.55,-0.227,0.155,-1.788,14.81651296,72.286,75.185,14,11.1736,19
Senegal,2010,433,4.372,0,2724.54,10.22,-0.418,-0.399,-0.268,40.00782731,62.509,65.737,375,87.5702,136
Serbia,2010,272,4.461,0,12688.05,19.22,-0.422,-0.373,0.286,43.49957267,71.8,77,16,21.5124,30
Sierra Leone,2010,451,4.134,0,1199.99,4.27,-0.237,-0.934,-0.158,50.33701178,47.572,48.884,1630,134.3892,317
Singapore,2010,830,6.531,1,72115.84,3.17,1.169,1.626,-0.209,43.50325577,79.2,84,11,4.7298,35
Slovenia,2010,317,6.083,1,28678.37,7.24,0.867,1.008,1.049,45.66089295,76.3,82.7,9,4.9674,9.5
South Africa,2010,560,4.652,0,11887.81,24.69,-0.029,0.141,0.602,43.9578002,53.014,58.868,154,53.8052,948
Spain,2010,230,6.188,1,32507.09,19.86,-0.318,1.189,1.123,44.25417075,78.7,84.7,5,10.286,17
Sri Lanka,2010,780,3.977,0,8529.57,4.94,-0.943,-0.121,-0.505,33.00336031,70.934,77.861,35,19.5818,66
Sweden,2010,380,7.496,1,42942.56,8.58,1.094,1.955,1.543,47.12953041,79.5,83.5,4,5.6526,7.5
Tajikistan,2010,702,4.381,0,2106.33,11.72,-1.035,-1.209,-1.431,39.73204407,66.957,72.79,35,40.3956,128
Tanzania,2010,510,3.229,0,2090.58,2.97,0.014,-0.486,-0.131,50.57812461,59.243,62.549,514,125.8002,426
Thailand,2010,800,6.217,1,13486.56,0.62,-1.443,-0.205,-0.496,45.90667118,70.402,77.561,23,47.9138,181
Tunisia,2010,616,5.131,0,10436.37,13.05,-0.064,0.062,-1.416,26.67923334,72.662,77.068,67,7.1268,28
Turkey,2010,640,5.49,0,17959.26,10.66,-0.915,0.111,-0.085,29.1857517,70.776,77.578,23,34.1514,25
Uganda,2010,500,4.193,0,1515.87,4.01,-1.001,-0.398,-0.518,47.44748734,55.343,58.899,420,135.9608,210
Ukraine,2010,369,5.058,0,7824.5,8.1,0.013,-0.808,-0.084,48.14031152,65.28,75.5,26,28.9362,110
United Arab Emirates,2010,696,7.097,1,57232.62,3.7,0.802,0.323,-0.904,11.42725581,75.65,77.792,6,28.5314,1.8
United Kingdom,2010,200,7.029,1,36366.98,7.79,0.412,1.764,1.29,46.01869423,78.5,82.4,10,20.8564,14
United States,2010,2,7.164,1,49374.18,9.63,0.438,1.638,1.134,46.16476691,76.2,81,14,32.5494,4.2
Uruguay,2010,165,6.062,1,17082.4,7.16,0.825,0.739,1.147,44.44720851,72.881,80.087,19,59.2876,24
Uzbekistan,2010,704,5.095,0,4239.7,8.19,-0.72,-1.416,-2.086,42.01577125,67.166,72.911,39,17.753,97
Vietnam,2010,816,5.296,0,4408.17,2.64,0.148,-0.591,-1.497,48.40204432,70.188,79.992,58,33.955,155
Zimbabwe,2010,552,4.682,0,1737.96,5.27,-1.104,-1.823,-1.475,49.02529639,51.69,54.125,446,114.4282,416
